id,lga_id,ward_name
7200,632,Akinmorin/Jobele
7201,632,Awe I
7202,632,Iware
7203,632,Awe II
7204,633,Ijaye/Ojedeji
7205,633,Iroko
7206,633,Olode/Amosun/Onidundu
7207,633,Ajibade/Alabata/Elekuru
7208,633,Iwokoto/Talontan/Idi-oro
7209,633,Akinyele/Isabiyi/Irepodun
7210,633,Ikereku
7211,633,Olanla/Oboda/laBode
7212,633,Olorisa-oko/Okegbemi/Mele
7213,633,Ojoo/Ajibode/Laniba
7214,633,Ojo-Emo/Moniya
7215,633,Arulogun/Eniosa/Aroro
7216,664,Igbon/Gambari
7217,664,Baya-Oje
7218,664,Iwofin
7219,664,Iresaadu
7220,664,Mayin
7221,664,Oko
7222,664,Ilajue
7223,664,Iresaapa
7224,664,Iregba
7225,664,Arolu
7226,662,Agbonle
7227,662,Ogbooro II
7228,662,Sepeteri I
7229,662,Sepeteri IV
7230,662,Sepeteri III
7231,662,Sepeteri II
7232,662,Ogbooro I
7233,662,Oje Owode I
7234,662,Oje owode II
7235,662,Ago Amodu I
7236,662,Ago Amodu II
7237,659,Ori Ire VI
7238,659,Ori Ire V
7239,659,Ori Ire IX
7240,659,Ori Ire VIII
7241,659,Ori Ire VII
7242,659,Ori Ire X
7243,659,Ori Ire I
7244,659,Ori Ire II
7245,659,Ori Ire III
7246,659,Ori Ire IV
7247,658,Bonni
7248,658,Onigboho/Alomo/Okere
7249,658,Igi Isubu
7250,658,Onibode III
7251,658,Onibode II
7252,658,Onibode I
7253,658,Aare
7254,658,Alepata
7255,658,Igbope/Iyeye I
7256,658,Igbope/Iyeye II
7257,657,Araromi/Aperin
7258,657,Olode/Gbedun/Ojebode
7259,657,Akanran/Olorunda
7260,657,Gbada Efon
7261,657,Odi Odeyale/Odi Aperin
7262,657,Oremeji/Agugu
7263,657,Olorunsogo
7264,657,Ogbere Tioya
7265,657,Ogbere
7266,657,Ojoku/Ajia
7267,657,Badeku
7268,656,Olonde/Aba-Nla
7269,656,Onipe
7270,656,Okanhinde/Latunde
7271,656,Idi-Osan/Egbeda-Atuba
7272,656,Muslim/Ogbere
7273,656,Ayegun
7274,656,Olomi/Olurinde
7275,656,Idi-Iroko/Ikereku
7276,656,Orisunbare/Ojo-Ekun
7277,656,Odo-Ona Nla
7278,655,Opa/Ogunniyi
7279,655,Waro/Apata-Alaje
7280,655,Aboke (Aboyun Ogun)
7281,655,Onigbeti I (Iyamopo)
7282,655,Elerugba/Elehinke/Sagbo (Aperu)
7283,655,Onigbeti II/Sagbon Agoro (Sagbon)
7284,655,Seriki I & Abosino (Okin)
7285,655,Seriki II (Agbele)
7286,655,Onigbeti III & IV (Agbeni)
7287,655,Ikolaba/Obadimo
7288,654,Ajaawa I
7289,654,Mowolowo/Iwo-Ate
7290,654,Odo-Oba
7291,654,Ayede
7292,654,Ajaawa II
7293,654,Idewure
7294,654,Lagbedu
7295,654,Otamokun
7296,654,Opete
7297,654,Ayetoro
7298,651,Ajara/Opeodu
7299,651,Lagelu Market/Kajola/Gbena
7300,651,Lalupon III
7301,651,Ejioku/Igbon/Ariku
7302,651,Lalupon I
7303,651,Ofa-Igbo
7304,651,Lalupon II
7305,651,Arulogun Ehin/Kelebe
7306,651,Sagbe/Pabiekun
7307,651,Apatere/Kuffi/Ogunbode/Ogo
7308,651,Lagun
7309,651,Ogunjana/Olowode/Ogburo
7310,651,Ogunremi/Ogunsina
7311,651,Oyedeji/Olode/Kutayi
7312,650,Isemi-Ile/Imia/Ilua
7313,650,Gbelekale I & II
7314,650,Elero
7315,650,Kajola
7316,650,Isia
7317,650,Imoba/Oke-Ogun
7318,650,Ijo
7319,650,Olele
7320,650,Iba-Ogan
7321,650,Ayetoro-Oke I
7322,650,Ilaji Oke/Iwere-Oke
7323,649,Iwere-Ile IV
7324,649,Iwere-Ile I
7325,649,Iwere-Ile II
7326,649,Iwere-Ile III
7327,649,Sabi Gana II
7328,649,Agbaakin II
7329,649,Agbaakin I
7330,649,Sabi Gana I
7331,649,Sabi Gana III
7332,649,Sabi Gana IV
7333,646,Iba I
7334,646,Agoro
7335,646,Ikolaba
7336,646,Iba V
7337,646,Ajagunna
7338,646,Laha/Ajana
7339,646,Iba IV
7340,646,Iba II
7341,646,Atipa
7342,646,Iba III
7343,652,Abogunde
7344,652,Jagun
7345,652,Isale Alaasa
7346,652,Isale Ora/Saja
7347,652,Aguodo/ Masifa
7348,652,Aaje/Ogunbado
7349,652,Isale Afon
7350,652,Osupa
7351,652,Okelerin
7352,652,Sabo/Tara
7353,652,Arowomole
7354,652,Akata
7355,652,Alapata
7356,652,Ibapon
